"event_id","download_date","user_id","app","category","rating","reviews","app_size","installs","app_type","price","content_rating","genres","last_updated","current_version","android_version","app_id","user_name","user_age","user_location","time_spent_min"
"0","2021-05-07","244","Photo Editor & Candy Camera & Grid & ScrapBook","ART_AND_DESIGN","4.1","159","19M","10,000+","Free","0","Everyone","Art & Design","January 7, 2018","1.0.0","4.0.3 and up","7462","Dr. Kelsey Hancock MD","19","Washington","135"
"1","2021-05-07","120","3D Color Pixel by Number - Sandbox Art Coloring","ART_AND_DESIGN","4.4","1518","37M","100,000+","Free","0","Everyone","Art & Design","August 3, 2018","1.2.3","2.3 and up","560","Mark Robinson","36","Arizona","194"
"2","2021-05-07","3","Mandala Coloring Book","ART_AND_DESIGN","4.6","4326","21M","100,000+","Free","0","Everyone","Art & Design","June 26, 2018","1.0.4","4.4 and up","6525","Edward Hall","47","Alaska","75"
"3","2021-05-07","173","Name Art Photo Editor - Focus n Filters","ART_AND_DESIGN","4.4","8788","12M","1,000,000+","Free","0","Everyone","Art & Design","July 31, 2018","1.0.15","4.0 and up","7023","Jacqueline Robinson","49","Maryland","185"
"4","2021-05-07","402","Text on Photo - Fonteee","ART_AND_DESIGN","4.4","13880","28M","1,000,000+","Free","0","Everyone","Art & Design","October 27, 2017","1.0.4","4.1 and up","8832","Angela Edwards","51","Nebraska","83"
"5","2021-05-07","16","Kids Paint Free - Drawing Fun","ART_AND_DESIGN","4.7","121","3.1M","10,000+","Free","0","Everyone","Art & Design;Creativity","July 3, 2018","2.8","4.0.3 and up","6091","Mrs. Maureen Marshall DVM","58","California","52"
"6","2021-05-07","457","Garden Coloring Book","ART_AND_DESIGN","4.4","13791","33M","1,000,000+","Free","0","Everyone","Art & Design","September 20, 2017","2.9.2","3.0 and up","5304","Katherine Gordon","51","Virginia","155"
"7","2021-05-07","109","Tattoo Name On My Photo Editor","ART_AND_DESIGN","4.2","44829","20M","10,000,000+","Free","0","Teen","Art & Design","April 2, 2018","3.8","4.1 and up","8776","Charles Murray","46","New Hampshire","60"
"8","2021-05-07","427","Smoke Effect Photo Maker - Smoke Editor","ART_AND_DESIGN","3.8","178","19M","50,000+","Free","0","Everyone","Art & Design","April 26, 2018","1.1","4.0.3 and up","8380","Debbie Jimenez","38","New York","142"
"9","2021-05-07","453","Paper flowers instructions","ART_AND_DESIGN","4.4","167","5.6M","50,000+","Free","0","Everyone","Art & Design","March 26, 2017","1","2.3 and up","7378","John George","57","Oregon","224"
"10","2021-05-07","297","Pixel Draw - Number Art Coloring Book","ART_AND_DESIGN","4.3","967","2.8M","100,000+","Free","0","Everyone","Art & Design;Creativity","June 20, 2018","1.1","4.4 and up","7522","Derek Dalton","46","South Dakota","74"
"11","2021-05-07","74","Sketch - Draw & Paint","ART_AND_DESIGN","4.5","215644","25M","50,000,000+","Free","0","Teen","Art & Design","June 8, 2018","Varies with device","4.2 and up","8327","Ronnie Patterson","61","West Virginia","150"
"12","2021-05-07","258","U Launcher Lite – FREE Live Cool Themes, Hide Apps","ART_AND_DESIGN","4.7","87510","8.7M","5,000,000+","Free","0","Everyone","Art & Design","August 1, 2018","1.2.4","4.0.3 and up","9156","Jeffrey Lewis","30","Pennsylvania","224"
"13","2021-05-07","354","Coloring book moana","ART_AND_DESIGN","3.9","967","14M","500,000+","Free","0","Everyone","Art & Design;Pretend Play","January 15, 2018","2.0.0","4.0.3 and up","3132","Mikayla Downs","40","Kansas","70"
"14","2021-05-07","490","Infinite Painter","ART_AND_DESIGN","4.1","36815","29M","1,000,000+","Free","0","Everyone","Art & Design","June 14, 2018","6.1.61.1","4.2 and up","5878","Mariah Peters","61","Nebraska","134"
"15","2021-05-08","91","Monster Truck Stunt 3D 2019","AUTO_AND_VEHICLES","4.2","367","25M","100,000+","Free","0","Everyone","Auto & Vehicles","May 10, 2018","1","4.0.3 and up","6797","Jeffrey Diaz","42","Idaho","220"
"16","2021-05-08","368","How To Draw Food","ART_AND_DESIGN","4.3","845","7.9M","100,000+","Free","0","Everyone","Art & Design","May 28, 2018","1","2.3 and up","5762","Brad Miller","52","Arkansas","183"
"17","2021-05-08","113","Little Teddy Bear Colouring Book Game","ART_AND_DESIGN","4.2","85","8.0M","100,000+","Free","0","Everyone","Art & Design","December 17, 2017","2.0.0","4.1 and up","6343","Kathleen Harris","42","Ohio","49"
"18","2021-05-08","284","Install images with music to make video without Net - 2018","ART_AND_DESIGN","4.6","1070","26M","100,000+","Free","0","Everyone","Art & Design","November 14, 2017","1.6","4.1 and up","5900","Jessica Michael","38","California","208"
"19","2021-05-08","240","Paint Splash!","ART_AND_DESIGN","3.8","2206","1.2M","100,000+","Free","0","Everyone","Art & Design;Creativity","April 15, 2018","1.46","4.1 and up","7371","Christine Walsh","42","Ohio","56"
"20","2021-05-08","353","Popsicle Sticks and Similar DIY Craft Ideas","ART_AND_DESIGN","4.2","26","12M","10,000+","Free","0","Everyone","Art & Design","January 3, 2018","1.0.0","4.1 and up","7602","Debbie Hardy","24","Texas","106"
"21","2021-05-08","184","Sad Poetry Photo Frames 2018","ART_AND_DESIGN","4.5","176","10M","100,000+","Free","0","Everyone","Art & Design","April 2, 2018","1","4.0.3 and up","8121","Robert Smith","36","Mississippi","116"
"22","2021-05-08","432","Real Tractor Farming","AUTO_AND_VEHICLES","4","1598","56M","1,000,000+","Free","0","Everyone","Auto & Vehicles","July 26, 2018","11","4.1 and up","7880","Michelle Conrad","64","Alaska","37"
"23","2021-05-08","102","Canva: Poster, banner, card maker & graphic design","ART_AND_DESIGN","4.7","174531","24M","10,000,000+","Free","0","Everyone","Art & Design","July 31, 2018","1.6.1","4.1 and up","2872","Derrick Burnett","60","Wisconsin","146"
"24","2021-05-08","396","Ultimate F1 Racing Championship","AUTO_AND_VEHICLES","3.8","284","57M","100,000+","Free","0","Everyone","Auto & Vehicles","July 26, 2018","3","4.1 and up","9214","Elizabeth Davis","26","New York","31"
"25","2021-05-08","423","REG - Check the regnumber, find information about Swedish vehicles","AUTO_AND_VEHICLES","3.9","3971","3.6M","100,000+","Free","0","Everyone","Auto & Vehicles","July 30, 2018","2.493","4.4 and up","7790","Matthew Gomez","53","West Virginia","130"
"26","2021-05-08","460","American Muscle Car Race","AUTO_AND_VEHICLES","3.9","129","35M","100,000+","Free","0","Everyone","Auto & Vehicles","July 26, 2018","3","4.1 and up","1195","Renee Smith","59","Vermont","133"
"27","2021-05-08","180","Offroad Oil Tanker Driver Transport Truck 2019","AUTO_AND_VEHICLES","4.3","542","33M","100,000+","Free","0","Everyone","Auto & Vehicles","July 31, 2018","4","4.1 and up","7219","Kathy Fischer","35","Iowa","149"
"28","2021-05-08","367","Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","AUTO_AND_VEHICLES","4.9","10479","33M","100,000+","Free","0","Everyone","Auto & Vehicles","July 18, 2018","1.7.1","4.0 and up","8970","Rachel Graham","26","North Carolina","88"
"29","2021-05-08","133","Gas Prices (Germany only)","AUTO_AND_VEHICLES","4.4","805","5.6M","50,000+","Free","0","Everyone","Auto & Vehicles","July 29, 2018","2.5.1","4.4 and up","5311","Ashley Schwartz","36","Connecticut","43"
"30","2021-05-08","315","Extreme Rally Championship","AUTO_AND_VEHICLES","4.2","129","54M","100,000+","Free","0","Everyone","Auto & Vehicles","July 26, 2018","3","4.1 and up","4571","Jessica Johnson","47","New Jersey","38"
"31","2021-05-08","361","Restart Navigator","AUTO_AND_VEHICLES","4","1403","201k","100,000+","Free","0","Everyone","Auto & Vehicles","August 26, 2014","1.0.1","2.2 and up","7940","Terry Nguyen","28","Kentucky","150"
"32","2021-05-08","353","Drawing Clothes Fashion Ideas","ART_AND_DESIGN","4.2","117","15M","10,000+","Free","0","Everyone","Art & Design","July 20, 2018","2.0.1","4.0.3 and up","3955","Debbie Hardy","24","Texas","175"
"33","2021-05-08","92","CityBus Lviv","AUTO_AND_VEHICLES","4.6","534","5.7M","10,000+","Free","0","Everyone","Auto & Vehicles","July 8, 2018","1.9.1","4.0.3 and up","3052","Steven Fields","54","New York","181"
"34","2021-05-08","466","CDL Practice Test 2018 Edition","AUTO_AND_VEHICLES","4.9","7774","17M","100,000+","Free","0","Everyone","Auto & Vehicles","July 3, 2018","1.7","4.2 and up","2455","Harold Stanley","27","Ohio","32"
"35","2021-05-08","135","ezETC (ETC balance inquiry, meter trial, real-time traffic)","AUTO_AND_VEHICLES","4.3","38846","8.6M","1,000,000+","Free","0","Everyone","Auto & Vehicles","July 28, 2018","2.20 Build 02","4.1 and up","9952","James Ibarra","22","Rhode Island","93"
"36","2021-05-08","444","Used Cars and Trucks for Sale","AUTO_AND_VEHICLES","4.6","17057","Varies with device","1,000,000+","Free","0","Everyone","Auto & Vehicles","July 30, 2018","Varies with device","Varies with device","9257","John Mclaughlin","36","Maryland","44"
"37","2021-05-08","15","How To Color Disney Princess - Coloring Pages","ART_AND_DESIGN","4","591","9.4M","500,000+","Free","0","Everyone","Art & Design","March 31, 2018","1","4.0 and up","5761","Stephen Andrade","32","Wyoming","204"
"38","2021-05-08","215","Textgram - write on photos","ART_AND_DESIGN","4.4","295221","Varies with device","10,000,000+","Free","0","Everyone","Art & Design","July 30, 2018","Varies with device","Varies with device","8834","Holly Lopez","36","Oregon","237"
"39","2021-05-08","439","Floor Plan Creator","ART_AND_DESIGN","4.1","36639","Varies with device","5,000,000+","Free","0","Everyone","Art & Design","July 14, 2018","Varies with device","2.3.3 and up","5032","Brian Brooks","53","New Jersey","214"
"40","2021-05-08","76","PIP Camera - PIP Collage Maker","ART_AND_DESIGN","4.7","158","11M","10,000+","Free","0","Everyone","Art & Design","November 29, 2017","1.3","4.0.3 and up","7333","Madison Reid","18","New Mexico","221"
"41","2021-05-08","490","Photo Designer - Write your name with shapes","ART_AND_DESIGN","4.7","3632","5.5M","500,000+","Free","0","Everyone","Art & Design","July 31, 2018","3.1","4.1 and up","7460","Mariah Peters","61","Nebraska","105"
"42","2021-05-08","3","350 Diy Room Decor Ideas","ART_AND_DESIGN","4.5","27","17M","10,000+","Free","0","Everyone","Art & Design","November 7, 2017","1","2.3 and up","554","Edward Hall","47","Alaska","220"
"43","2021-05-08","80","FlipaClip - Cartoon animation","ART_AND_DESIGN","4.3","194216","39M","5,000,000+","Free","0","Everyone","Art & Design","August 3, 2018","2.2.5","4.0.3 and up","5023","Michael Vargas","59","Maryland","143"
"44","2021-05-08","164","ibis Paint X","ART_AND_DESIGN","4.6","224399","31M","10,000,000+","Free","0","Everyone","Art & Design","July 30, 2018","5.5.4","4.1 and up","10004","Mark Rogers","63","Vermont","129"
"45","2021-05-08","50","Logo Maker - Small Business","ART_AND_DESIGN","4","450","14M","100,000+","Free","0","Everyone","Art & Design","April 20, 2018","4","4.1 and up","6372","Donna Myers","26","Georgia","195"
