event_id,download_date,user_id,app,category,rating,reviews,app_size,installs,app_type,price,content_rating,genres,last_updated,current_version,android_version,app_id,user_name,user_age,user_location
0,2021-03-30 16:27:53,681,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19000000.0,10000,Free,0.0,Everyone,Art & Design,2018-01-07,1.0.0,4.0.3 and up,7462,Jonathan Schroeder,46,Hawaii
1,2021-03-30 16:27:54,323,Coloring book moana,ART_AND_DESIGN,3.9,967,14000000.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up,3132,Stephanie Nash,15,Nebraska
2,2021-03-30 16:27:55,463,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8700000.0,5000000,Free,0.0,Everyone,Art & Design,2018-08-01,1.2.4,4.0.3 and up,9156,Andrea Brown,15,Georgia
3,2021-03-30 16:27:56,326,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25000000.0,50000000,Free,0.0,Teen,Art & Design,2018-06-08,Varies with device,4.2 and up,8327,Debra Calhoun,46,Nevada
4,2021-03-30 16:27:57,365,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2800000.0,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-06-20,1.1,4.4 and up,7522,Jennifer Garcia,30,South Dakota
5,2021-03-30 16:27:58,269,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5600000.0,50000,Free,0.0,Everyone,Art & Design,2017-03-26,1.0,2.3 and up,7378,Shannon Hall,23,Pennsylvania
6,2021-03-30 16:27:59,12,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19000000.0,50000,Free,0.0,Everyone,Art & Design,2018-04-26,1.1,4.0.3 and up,8380,Joseph Horton,46,South Dakota
7,2021-03-30 16:28:00,750,Infinite Painter,ART_AND_DESIGN,4.1,36815,29000000.0,1000000,Free,0.0,Everyone,Art & Design,2018-06-14,6.1.61.1,4.2 and up,5878,Karen Moore,45,Wyoming
8,2021-03-30 16:28:01,73,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33000000.0,1000000,Free,0.0,Everyone,Art & Design,2017-09-20,2.9.2,3.0 and up,5304,Jared Smith,26,Alaska
9,2021-03-30 16:28:02,183,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3100000.0,10000,Free,0.0,Everyone,Art & Design;Creativity,2018-07-03,2.8,4.0.3 and up,6091,Tammy Townsend,18,Montana
10,2021-03-30 16:28:03,4,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28000000.0,1000000,Free,0.0,Everyone,Art & Design,2017-10-27,1.0.4,4.1 and up,8832,Anthony White,23,Oklahoma
11,2021-03-30 16:28:04,515,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12000000.0,1000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.0.15,4.0 and up,7023,Jill Robinson,21,Arizona
12,2021-03-30 16:28:05,628,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20000000.0,10000000,Free,0.0,Teen,Art & Design,2018-04-02,3.8,4.1 and up,8776,Mrs. Patty Mason,43,Nevada
13,2021-03-30 16:28:06,268,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21000000.0,100000,Free,0.0,Everyone,Art & Design,2018-06-26,1.0.4,4.4 and up,6525,Elizabeth Davis,51,Utah
14,2021-03-30 16:28:07,131,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37000000.0,100000,Free,0.0,Everyone,Art & Design,2018-08-03,1.2.3,2.3 and up,560,Ashley Thomas,33,Illinois
16,2021-03-30 16:28:09,849,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5500000.0,500000,Free,0.0,Everyone,Art & Design,2018-07-31,3.1,4.1 and up,7460,Brittany Barr,63,Nevada
17,2021-03-30 16:28:10,197,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17000000.0,10000,Free,0.0,Everyone,Art & Design,2017-11-07,1.0,2.3 and up,554,Shawn Dunn,51,Iowa
18,2021-03-30 16:28:11,371,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39000000.0,5000000,Free,0.0,Everyone,Art & Design,2018-08-03,2.2.5,4.0.3 and up,5023,William Adams,48,Rhode Island
19,2021-03-30 16:28:12,676,ibis Paint X,ART_AND_DESIGN,4.6,224399,31000000.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-30,5.5.4,4.1 and up,10004,Amanda Carrillo,55,Kentucky
20,2021-03-30 16:28:13,623,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14000000.0,100000,Free,0.0,Everyone,Art & Design,2018-04-20,4.0,4.1 and up,6372,Jon Pennington,14,Louisiana
21,2021-03-30 16:28:14,702,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12000000.0,100000,Free,0.0,Everyone,Art & Design,2018-03-20,1.1,4.0.3 and up,2248,Lee Lucas,41,Colorado
22,2021-03-30 16:28:15,333,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4200000.0,500000,Free,0.0,Everyone 10+,Art & Design,2018-07-12,2.2.6.2,4.0.3 and up,8631,Elizabeth White,62,Mississippi
23,2021-03-30 16:28:16,233,Mcqueen Coloring pages,ART_AND_DESIGN,4.3,61,7000000.0,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up,6602,Joseph Hall,38,Illinois
24,2021-03-30 16:28:17,612,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23000000.0,50000,Free,0.0,Everyone,Art & Design,2018-07-07,1.1.3,4.1 and up,5538,Michael White DVM,54,Hawaii
25,2021-03-30 16:28:18,991,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6000000.0,10000,Free,0.0,Everyone,Art & Design,2018-04-25,1.5,3.0 and up,5626,Samuel Porter,16,Minnesota
26,2021-03-30 16:28:19,395,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25000000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2017-10-11,1.0.8,4.0.3 and up,3126,Brett Brooks,48,Wisconsin
27,2021-03-30 16:28:20,720,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6100000.0,100000,Free,0.0,Everyone,Art & Design,2018-03-21,1.03,4.0.3 and up,1245,Edward Chambers,36,Ohio
28,2021-03-30 16:28:21,876,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4600000.0,10000,Free,0.0,Everyone,Art & Design,2018-07-12,6.0,2.3 and up,7416,Brian Griffith,41,South Dakota
29,2021-03-30 16:28:22,940,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4200000.0,100000,Free,0.0,Everyone,Art & Design,2017-08-22,1.0,2.3 and up,4361,Teresa Nolan,26,Connecticut
30,2021-03-30 16:28:23,550,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9200000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-12,6.7.12.2018,4.0.3 and up,7507,Kim Hall,14,Indiana
31,2021-03-30 16:28:24,91,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5200000.0,50000,Free,0.0,Everyone,Art & Design,2018-05-31,1.2,2.3 and up,1321,Karen Gray,59,Indiana
32,2021-03-30 16:28:25,915,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11000000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-19,2.20,4.0 and up,1249,Jesse Smith,33,Delaware
33,2021-03-30 16:28:26,910,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11000000.0,100000,Free,0.0,Everyone,Art & Design,2018-01-06,1.1.0,4.1 and up,4360,Crystal Lewis,35,Kentucky
34,2021-03-30 16:28:27,943,I Creative Idea,ART_AND_DESIGN,4.7,353,4200000.0,10000,Free,0.0,Teen,Art & Design,2018-04-27,1.6,4.1 and up,5806,Michael Thomas,16,Kentucky
35,2021-03-30 16:28:28,291,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9200000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-11,2.1,4.1 and up,5769,Jeffrey Arias,25,Oklahoma
36,2021-03-30 16:28:29,748,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24000000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4 and up,9178,Bobby Bowman,50,Nebraska
37,2021-03-30 16:28:30,848,Floor Plan Creator,ART_AND_DESIGN,4.1,36639,0.0,5000000,Free,0.0,Everyone,Art & Design,2018-07-14,Varies with device,2.3.3 and up,5032,Ryan Nguyen,61,Florida
38,2021-03-30 16:28:31,602,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11000000.0,10000,Free,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0.3 and up,7333,Heather Robinson,52,Rhode Island
39,2021-03-30 16:28:32,577,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9400000.0,500000,Free,0.0,Everyone,Art & Design,2018-03-31,1,4.0 and up,5761,Brian Leblanc,22,Florida
40,2021-03-30 16:28:33,11,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15000000.0,10000,Free,0.0,Everyone,Art & Design,2018-07-20,2.0.1,4.0.3 and up,3955,Lisa Harrison,48,Maryland
41,2021-03-30 16:28:34,880,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10000000.0,100000,Free,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0.3 and up,8121,Mark Torres,21,Oregon
42,2021-03-30 16:28:35,303,Textgram - write on photos,ART_AND_DESIGN,4.4,295221,0.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-30,Varies with device,Varies with device,8834,Donna Carlson,43,California
