event_id,download_date,user_id,app,category,rating,reviews,app_size,installs,app_type,price,content_rating,genres,last_updated,current_version,android_version,app_id,user_name,user_age,user_location,time_spent_min
0,2021-03-31,638,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19000000.0,10000,Free,0.0,Everyone,Art & Design,2018-01-07,1.0.0,4.0.3 and up,7462,Christopher Sanchez,36,Alaska,325
1,2021-03-31,9,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11000000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-19,2.20,4.0 and up,1249,Joanna Gallagher,34,Mississippi,391
2,2021-03-31,515,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5200000.0,50000,Free,0.0,Everyone,Art & Design,2018-05-31,1.2,2.3 and up,1321,Jean Hall,18,New Jersey,104
3,2021-03-31,638,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9200000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-12,6.7.12.2018,4.0.3 and up,7507,Christopher Sanchez,36,Alaska,359
4,2021-03-31,125,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4200000.0,100000,Free,0.0,Everyone,Art & Design,2017-08-22,1.0,2.3 and up,4361,Jeanette Rodriguez,40,Alaska,225
5,2021-03-31,196,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4600000.0,10000,Free,0.0,Everyone,Art & Design,2018-07-12,6.0,2.3 and up,7416,Donna Payne DVM,36,Delaware,223
6,2021-03-31,200,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25000000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2017-10-11,1.0.8,4.0.3 and up,3126,Andrea Brown,46,Pennsylvania,335
7,2021-03-31,293,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6000000.0,10000,Free,0.0,Everyone,Art & Design,2018-04-25,1.5,3.0 and up,5626,Valerie Baird,45,Louisiana,307
8,2021-03-31,343,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23000000.0,50000,Free,0.0,Everyone,Art & Design,2018-07-07,1.1.3,4.1 and up,5538,Ashley Miller,59,Texas,334
9,2021-03-31,479,Mcqueen Coloring pages,ART_AND_DESIGN,4.3,61,7000000.0,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up,6602,Henry Tucker,63,Utah,252
10,2021-03-31,482,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4200000.0,500000,Free,0.0,Everyone 10+,Art & Design,2018-07-12,2.2.6.2,4.0.3 and up,8631,Jeffrey Jones,43,Kentucky,314
11,2021-03-31,42,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12000000.0,100000,Free,0.0,Everyone,Art & Design,2018-03-20,1.1,4.0.3 and up,2248,Shelley Contreras,61,Missouri,179
12,2021-03-31,455,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14000000.0,100000,Free,0.0,Everyone,Art & Design,2018-04-20,4.0,4.1 and up,6372,Michael Marshall,48,Texas,395
13,2021-03-31,627,ibis Paint X,ART_AND_DESIGN,4.6,224399,31000000.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-30,5.5.4,4.1 and up,10004,Ashley Lewis,31,Minnesota,186
14,2021-03-31,631,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39000000.0,5000000,Free,0.0,Everyone,Art & Design,2018-08-03,2.2.5,4.0.3 and up,5023,Jennifer Mendez,32,Georgia,188
15,2021-03-31,994,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17000000.0,10000,Free,0.0,Everyone,Art & Design,2017-11-07,1.0,2.3 and up,554,James Petty,55,Idaho,213
16,2021-03-31,793,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6100000.0,100000,Free,0.0,Everyone,Art & Design,2018-03-21,1.03,4.0.3 and up,1245,Steven Stewart,22,Iowa,277
18,2021-03-31,920,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5500000.0,500000,Free,0.0,Everyone,Art & Design,2018-07-31,3.1,4.1 and up,7460,Gregory Wu,64,Michigan,313
19,2021-03-31,645,Coloring book moana,ART_AND_DESIGN,3.9,967,14000000.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up,3132,Donald Rodriguez,44,Texas,100
