event_id,download_date,user_id,app,category,rating,reviews,app_size,installs,app_type,price,content_rating,genres,last_updated,current_version,android_version,app_id,user_details
0,2021-03-28,450,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19000000.0,10000,Free,0.0,Everyone,Art & Design,2018-01-07,1.0.0,4.0.3 and up,7462,"Shannon Holmes, 46, Iowa"
1,2021-03-28,589,CE-SETRAM l’Appli,LIBRARIES_AND_DEMO,4.3,0,2600000.0,100,Free,0.0,Everyone,Libraries & Demo,2017-12-05,1.1.8,4.0.3 and up,2470,"Kelly Anderson, 19, Maryland"
2,2021-03-28,983,CE KISIO,LIFESTYLE,4.3,1,24000000.0,100,Free,0.0,Everyone,Lifestyle,2018-02-05,1.0.1,4.1 and up,2464,"Alyssa Brown, 23, Missouri"
3,2021-03-28,951,Terminal Emulator for Android,TOOLS,4.4,113951,551000.0,10000000,Free,0.0,Everyone,Tools,2015-04-15,1.0.70,1.6 and up,8812,"Timothy Francis, 50, New York"
4,2021-03-28,30,Ceasa CE,TOOLS,4.3,0,4000000.0,50,Free,0.0,Everyone,Tools,2018-06-13,1.0,4.0 and up,2944,"Lee Jenkins, 28, North Dakota"
5,2021-03-28,297,CE Genius Nurses Edition,MEDICAL,4.3,0,5100000.0,1,Paid,3.99,Everyone,Medical,2018-06-01,1.5,4.0.3 and up,2461,"Pamela Pearson, 19, North Carolina"
6,2021-03-28,128,CE HPJM 69,NEWS_AND_MAGAZINES,4.3,2,22000000.0,50,Free,0.0,Everyone,News & Magazines,2017-11-09,1.0,4.1 and up,2462,"Chelsea Montgomery, 41, Alaska"
7,2021-03-28,817,CE SODEXO PASS FRANCE,PRODUCTIVITY,4.3,0,21000000.0,50,Free,0.0,Everyone,Productivity,2018-06-06,2.3,4.1 and up,2466,"Christopher Steele, 42, Kansas"
8,2021-03-28,859,CE AH VLJ,TRAVEL_AND_LOCAL,4.3,1,18000000.0,1000,Free,0.0,Everyone,Travel & Local,2017-11-09,1.4,4.1 and up,2456,"Meghan Wright, 47, South Carolina"
9,2021-03-28,754,Pregnancy Tracker & Countdown to Baby Due Date,PARENTING,4.7,658087,62000000.0,10000000,Free,0.0,Everyone,Parenting,2018-05-24,3.15.1,5.0 and up,7633,"Christina Whitaker, 18, Illinois"
10,2021-03-28,940,ACCEPT CE MARKING,PRODUCTIVITY,4.3,0,30000000.0,10,Free,0.0,Everyone,Productivity,2018-06-28,1.0,4.1 and up,675,"Jamie Rivera, 36, Oklahoma"
11,2021-03-28,364,CE AR LOG,LIFESTYLE,4.3,0,23000000.0,1,Free,0.0,Everyone,Lifestyle,2018-07-11,1.0.1,4.1 and up,2457,"Andrea Watts, 36, Utah"
12,2021-03-28,617,CE Airbus,LIFESTYLE,4.3,0,0.0,100,Free,0.0,Everyone,Lifestyle,2018-04-24,Varies with device,Varies with device,2458,"Kelly Smith, 62, Oklahoma"
13,2021-03-28,339,"Führerschein Klasse CE, LKW 2018",FAMILY,4.3,57,0.0,1000,Paid,2.49,Everyone,Education,2018-04-09,4.2.0,Varies with device,5219,"Gregory Smith, 47, Maryland"
14,2021-03-28,270,CE Intelligence,BUSINESS,4.3,0,10000000.0,5,Free,0.0,Everyone,Business,2016-11-15,1.1,4.0 and up,2463,"Jose Brooks, 32, Tennessee"
15,2021-03-28,265,CrossFire: Legends,GAME,4.3,144040,29000000.0,5000000,Free,0.0,Teen,Action,2018-07-25,1.0.9.10,4.0 and up,3251,"Courtney Pittman, 27, Oklahoma"
16,2021-03-28,228,CF.lumen,TOOLS,4.4,4901,1900000.0,100000,Free,0.0,Everyone,Tools,2017-02-09,3.70,5.0 and up,2493,"Lorraine Nicholson, 21, West Virginia"
17,2021-03-28,940,CF-Bench Pro,TOOLS,4.6,159,29000.0,1000,Paid,1.49,Everyone,Tools,2011-06-23,1.1,1.6 and up,2492,"Jamie Rivera, 36, Oklahoma"
18,2021-03-28,618,Qu'est ce qui est jaune et qui attend ?,FAMILY,4.3,10,3000000.0,500,Free,0.0,Everyone,Entertainment,2017-07-13,1.1 (j'sais pas),4.4 and up,7739,"Amber Gray, 42, Georgia"
19,2021-03-28,59,CF SHOP!,LIFESTYLE,2.8,88,43000000.0,10000,Free,0.0,Everyone,Lifestyle,2018-06-30,1.8.1,4.4 and up,2485,"Charles Fitzpatrick, 35, Nevada"
20,2021-03-28,457,CCleaner,TOOLS,4.4,885187,22000000.0,50000000,Free,0.0,Everyone,Tools,2018-07-19,4.7.0,4.1 and up,2438,"Rodney Gutierrez, 50, Ohio"
